epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,753.705,1.07132,0.52098,0.99297,0.91083,0.8456,0.88618,0.47492,1.66457,0.85038,1.28455,0.0015941,0.0015941,0.0015941
43,768.637,1.06174,0.51436,0.98331,0.93013,0.81699,0.87205,0.45711,1.69066,0.86942,1.31821,0.0015842,0.0015842,0.0015842
44,783.611,1.04693,0.51247,0.97883,0.90451,0.84612,0.8759,0.45537,1.72043,0.89206,1.33592,0.0015743,0.0015743,0.0015743
45,798.772,1.05198,0.51938,0.98145,0.89918,0.85621,0.88254,0.46839,1.63997,0.93314,1.26557,0.0015644,0.0015644,0.0015644
46,814.511,1.05707,0.51169,0.98209,0.87547,0.83878,0.88459,0.47778,1.64214,0.86331,1.26453,0.0015545,0.0015545,0.0015545
47,829.928,1.04834,0.50557,0.97713,0.90134,0.85185,0.89812,0.48515,1.64999,0.87919,1.27844,0.0015446,0.0015446,0.0015446
48,845.737,1.05305,0.49988,0.9748,0.93934,0.84345,0.90645,0.49448,1.59923,0.79437,1.25705,0.0015347,0.0015347,0.0015347
49,862.927,1.04322,0.5021,0.97435,0.9382,0.82686,0.90664,0.48972,1.59641,0.84864,1.25974,0.0015248,0.0015248,0.0015248
50,877.954,0.99861,0.49211,0.95606,0.92196,0.82367,0.88325,0.47949,1.62297,0.87238,1.29071,0.0015149,0.0015149,0.0015149
51,893.234,0.98603,0.49109,0.95541,0.92918,0.83442,0.88665,0.48031,1.61555,0.89332,1.29127,0.001505,0.001505,0.001505
52,909.471,0.97096,0.46651,0.9478,0.92956,0.82353,0.88579,0.48715,1.59084,0.87538,1.24944,0.0014951,0.0014951,0.0014951
53,924.805,0.94659,0.46463,0.94181,0.91426,0.8671,0.89924,0.48857,1.60599,0.83552,1.28005,0.0014852,0.0014852,0.0014852
54,940.489,0.9752,0.47391,0.94848,0.93792,0.82353,0.89484,0.47947,1.60273,0.89796,1.27559,0.0014753,0.0014753,0.0014753
55,956.047,0.94659,0.46065,0.94363,0.95355,0.80502,0.8995,0.48423,1.61984,0.85936,1.28822,0.0014654,0.0014654,0.0014654
