epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,124.244,0.56824,2.6,0.24103,0.51099,1.02477,0.91079,0.83159,0.88999,0.6897,0.85377,0.78204,0.79023,0.4416,0.70901,2.5261,0.2005,0.61783,1.14323,0.000808828,0.000808828,0.000808828
28,128.375,0.56962,2.45454,0.23879,0.52878,1.02081,0.95356,0.83034,0.8759,0.68732,0.89031,0.74974,0.75401,0.45154,0.72433,2.55895,0.19784,0.58795,1.13788,0.000775822,0.000775822,0.000775822
29,132.515,0.57449,2.4241,0.24118,0.49317,1.02817,0.92301,0.79937,0.84003,0.66255,0.88736,0.74536,0.77468,0.46374,0.72876,2.45495,0.19161,0.57423,1.15188,0.000742815,0.000742815,0.000742815
30,136.454,0.56154,2.4074,0.2333,0.50237,1.01795,0.95333,0.81331,0.89898,0.71241,0.87489,0.75176,0.77545,0.48634,0.74118,2.39562,0.16073,0.55747,1.14914,0.000709809,0.000709809,0.000709809
31,140.557,0.55892,2.4616,0.23809,0.5067,1.03346,0.88701,0.87068,0.86697,0.6721,0.977,0.75599,0.78946,0.48669,0.73014,2.32561,0.18415,0.57249,1.15964,0.000676802,0.000676802,0.000676802
32,144.472,0.54732,2.25012,0.23645,0.50891,1.048,0.95233,0.82706,0.87601,0.67969,0.91241,0.78056,0.79231,0.50824,0.74558,2.31685,0.18944,0.679,1.15343,0.000643795,0.000643795,0.000643795
33,148.304,0.52314,2.23497,0.23372,0.47796,1.0097,0.88773,0.86926,0.88915,0.73266,0.95942,0.78522,0.81344,0.51193,0.66412,2.20552,0.16819,0.53666,1.11451,0.000610789,0.000610789,0.000610789
34,152.508,0.52523,2.20654,0.2196,0.46102,1.00152,0.94022,0.85297,0.89404,0.715,0.91193,0.80146,0.81115,0.49631,0.72569,2.31468,0.17157,0.52606,1.14799,0.000577782,0.000577782,0.000577782
35,156.576,0.51284,2.21261,0.22512,0.45274,0.99485,0.95782,0.85061,0.90153,0.71895,0.89905,0.8035,0.81043,0.51483,0.70669,2.22326,0.16869,0.55423,1.14945,0.000544776,0.000544776,0.000544776
36,160.513,0.4961,2.08796,0.21402,0.43797,0.98915,0.96673,0.8612,0.87888,0.68925,0.90709,0.78574,0.76364,0.49171,0.70806,2.20398,0.16274,0.53752,1.15446,0.000511769,0.000511769,0.000511769
37,164.385,0.48911,1.99946,0.21448,0.43096,0.98328,0.94969,0.83396,0.90133,0.72965,0.93421,0.8002,0.82814,0.53191,0.6357,2.13142,0.14337,0.53543,1.08872,0.000478762,0.000478762,0.000478762
38,168.533,0.49175,2.04034,0.2189,0.43845,0.99096,0.92836,0.84938,0.89087,0.72243,0.90225,0.81083,0.81365,0.55129,0.64517,2.05903,0.17147,0.6138,1.08635,0.000445756,0.000445756,0.000445756
